countyFIPS,CountyName,State,stateFIPS,Sep_06_2020,Sep_13_2020,Sep_20_2020
0,Statewide Unallocated,AL,1,0,0,0
1001,Autauga County,AL,1,24,24,24
1003,Baldwin County,AL,1,46,47,49
1005,Barbour County,AL,1,7,7,7
1007,Bibb County,AL,1,9,9,10
1009,Blount County,AL,1,12,13,14
1011,Bullock County,AL,1,14,14,14
1013,Butler County,AL,1,38,38,38
1015,Calhoun County,AL,1,38,38,39
1017,Chambers County,AL,1,41,42,42
1019,Cherokee County,AL,1,12,14,16
1021,Chilton County,AL,1,16,18,27
1023,Choctaw County,AL,1,12,12,12
1025,Clarke County,AL,1,14,16,17
1027,Clay County,AL,1,6,7,7
1029,Cleburne County,AL,1,5,6,6
1031,Coffee County,AL,1,7,7,8
1033,Colbert County,AL,1,22,24,26
1035,Conecuh County,AL,1,11,11,11
1037,Coosa County,AL,1,3,3,3
1039,Covington County,AL,1,27,27,27
1041,Crenshaw County,AL,1,30,31,31
1043,Cullman County,AL,1,17,17,17
1045,Dale County,AL,1,42,42,43
1047,Dallas County,AL,1,26,26,26
1049,DeKalb County,AL,1,18,18,19
1051,Elmore County,AL,1,47,47,47
1053,Escambia County,AL,1,22,23,25
1055,Etowah County,AL,1,43,44,47
1057,Fayette County,AL,1,6,7,9
1059,Franklin County,AL,1,27,28,28
1061,Geneva County,AL,1,4,4,4
1063,Greene County,AL,1,15,15,15
1065,Hale County,AL,1,28,28,28
1067,Henry County,AL,1,4,4,4
1069,Houston County,AL,1,20,20,22
1071,Jackson County,AL,1,9,10,11
1073,Jefferson County,AL,1,312,318,337
1075,Lamar County,AL,1,2,2,2
1077,Lauderdale County,AL,1,26,31,33
1079,Lawrence County,AL,1,5,12,20
1081,Lee County,AL,1,58,59,59
1083,Limestone County,AL,1,19,19,19
1085,Lowndes County,AL,1,27,27,27
1087,Macon County,AL,1,19,19,20
1089,Madison County,AL,1,64,72,75
1091,Marengo County,AL,1,19,19,19
1093,Marion County,AL,1,28,28,28
1095,Marshall County,AL,1,42,42,43
1097,Mobile County,AL,1,271,284,289
1099,Monroe County,AL,1,7,8,8
1101,Montgomery County,AL,1,166,170,173
1103,Morgan County,AL,1,24,25,26
1105,Perry County,AL,1,5,5,6
1107,Pickens County,AL,1,12,13,14
